time,title,content,href
2017/08/02 18:06,"아로펫 ‘아메리칸솔루션’, 반려묘의 안락함과 쾌적함 동시에 잡는다",반려동물 브랜드 ㈜아로펫의 한국고양이모래연구소가 고양이 모래 신제품 ‘아메리칸솔루션’을 출시하며 소비자를 만난다. 이번에 출시된 고양이 모래 신제품 ‘아메리칸솔루션’은 고양이의 편안함과 동시에 악취제거 및 쾌적함까지 생각한 제품으로 고양...,http://www.koreadognews.co.kr/news/view.php?no=1121
2017/08/02 18:03,"지위픽, 리뉴얼 통해 반려묘 건강 우선시한 레시피로 재탄생","펫트코리아가 수입 판매하는 뉴질랜드 펫푸드 브랜드 지위픽이 새로운 포장과 개선된 레시피로 업그레이드 된다. 이번에 새롭게 리뉴얼된 지위픽은 건사료와 캔사료 부문으로, 건사료는 육류/생선 함유량을 기존보다 증가시켜 더욱 완벽한 육류식단을 완성했...",http://www.koreadognews.co.kr/news/view.php?no=1120
2017/08/02 18:01,"웰니스, 반려묘 습식사료 ‘코어 디바인 듀오’ 출시",유한양행 웰니스가 반려묘 습식사료 ‘코어 디바인 듀오’를 새롭게 선보인다 웰니스의 코어 디바인 듀오는 기존의 제품들과 달리 한가지 제품만으로도 반려묘가 두가지 맛과 질감을 느낄 수 있다는 점이 특징이다. 코어 디바인 듀오는 제품의 아랫부분...,http://www.koreadognews.co.kr/news/view.php?no=1119
2017/07/24 15:38,"사조동아원, 고양이 전용 펫푸드 신제품 10종 출시","사조동아원이 통조림 4종, 건식사료 6종 등 고양이 전용 펫푸드 제품 총 10종을 새롭게 선보인다. 사조동아원이 사조그룹의 ‘사조펫연구소’와 영국 프리미어사와의 기술제휴를 통해 개발한 ‘러브잇캣 레드라벨(LoveatCat Red Label) 캔푸드’ 및 반려묘용 유기농...",http://www.koreadognews.co.kr/news/view.php?no=1097
2017/07/20 15:41,"울지마마이펫, 신제품 ‘인기쟁이퍼퓸’ 출시",반려동물 전문기업 울지마마이펫(대표 김화영)이 국내 처음으로 바르는 퍼퓸인 ‘인기쟁이퍼퓸’을 출시했다고 20일 밝혔다. 이번 제품은 심신안정에 효과적인 스위트자스민향으로 제작돼 사용시 다른 동물과 쉽게 어울리지 못하는 반려동물의 자신감을 높이...,http://www.koreadognews.co.kr/news/view.php?no=1085
2017/07/18 16:38,"LG생건 ‘시리우스 윌’, HACCP인증 반려견 프리미엄 간식 6종 출시",LG생활건강의 펫 푸드 브랜드 시리우스 윌(Sirius Will)이 100% 국내 생산으로 HACCP 인증을 통과한 반려견 프리미엄 간식 6종을 출시한다. 시리우스 윌이 출시하는 이번 반려견 간식은 최근 수제간식 트렌드에 맞춰 100% 국내 공장에서 생산된 건강식으로 스테이...,http://www.koreadognews.co.kr/news/view.php?no=1082
2017/07/12 17:09,"LGU+, 집에 혼자 있는 반려동물 위한 ‘IoT 패키지 상품’ 출시","LG유플러스가 집에 혼자 있는 반려동물을 위한 ‘반려동물 IoT’ 기기를 선보인다. ‘반려동물 IoT’는 서울시 수의사회 공식 추천 상품으로 홈CCTV 미니, IoT 플러그, IoT 스위치를 패키지로 제공한다. 반려동물 IoT 패키지 상품은 반려동물 보호자가 스마트폰 ...",http://www.koreadognews.co.kr/news/view.php?no=1068
2017/07/11 18:15,"푸드마스터그룹, 펫 전용워터 ‘닥터할리 펫밀크’ 6종 출시","반려동물 전문식품회사 푸드마스터그룹이 반려동물 전용워터 ‘닥터할리 펫밀크’ 6종을 출시했다. 닥터할리 펫밀크는 국내 전문 교수진에 의해 사람이 먹는 것과 동일한 제조공정과 성분으로 만든 홀리스틱(HOLISTIC) 제품이라는 점이 특징으로, 홀리스틱이란...",http://www.koreadognews.co.kr/news/view.php?no=1065
2017/07/06 16:02,"팍스푸드, 100% 휴먼그레이드 대용량 간식 ‘럭키져키’ 출시","반려동물 사료/간식 제조업체 팍스푸드가 휴먼그레이드 원료를 사용한 대용량 반려동물 간식 ‘럭키져키’를 출시한다. 오리, 소, 닭고기 3가지 제품군으로 구성된 럭키져키는 70% 이상의 생육함유량으로 반려동물에게 꼭 필요한 높은 담백질 함유량을 갖췄으...",http://www.koreadognews.co.kr/news/view.php?no=1055
2017/07/06 16:00,"네슬레퓨리나, 반려동물 고단백 사료 ‘트루 오리진’ 체험 기회 이벤트 진",네슬레 퓨리나의 맞춤 건강식 브랜드 퓨리나 원(PURINA ONE)이 네추럴 울트라 라인으로 새롭게 출시한 고단백 고밀도 자연식 ‘트루 오리진’ 체험 기회 이벤트를 진행한다. 이번 행사는 제조사나 브랜드 관계 없이 현재 급여하는 사료의 빈 파우치를 보내면 누구나 ...,http://www.koreadognews.co.kr/news/view.php?no=1054
2017/06/28 17:39,"네츄럴코어, 새로운 개념의 에코밸류 사료‧간식 라인 신제품 출시",반려동물 펫푸드 브랜드 네츄럴코어가 새로운 개념의 에코밸류(ECO VALUE) 라인의 펫푸드 사료 및 간식 신제품을 출시한다. 네츄럴코어의 에코밸류 사료 라인은 반려동물의 소화 흡수율을 높이고 식이성 알러지 예방 및 개선에 도움을 주기 위해 가수분해한 ...,http://www.koreadognews.co.kr/news/view.php?no=1045
2017/06/20 15:16,"네슬레퓨리나, 반려견 맞춤 건강식 ‘트루 오리진’ 출시",롯데네슬레코리아㈜의 반려동물 사업부인 네슬레퓨리나의 맞춤 건강식 브랜드 퓨리나 원(PURINA ONE)이 고단백 내추럴 라인인 ‘트루 오리진(TRUE ORIGIN)’ 2종을 선보인다. ‘퓨리나 원 트루 오리진’은 무화학 처리 인증 농장에서 재배된 자연 원료로 만들어진 고...,http://www.koreadognews.co.kr/news/view.php?no=1027
2017/06/08 11:28,"동원F&B, 길고양이 위한 착한 펫푸드 '러브투게더' 출시","동원F&amp;B가 이마트의 ‘몰리스펫샵’과 함께 길고양이를 위한 착한 펫푸드 ‘러브투게더’를 출시했다고 8일 밝혔다. 동원F&amp;B의 러브투게더는 티아민, 판토텐산 등 필수비타민 함량이 높은 참치붉은살로 만든 습식 펫푸드 통조림으로, 길고양이들...",http://www.koreadognews.co.kr/news/view.php?no=997
